id,value
id_0,27.6278176603
id_1,65.4264654246
id_2,21.9644974665
id_3,28.004907313
id_4,10.6909459747
id_5,31.2277660814
id_6,38.4018679674
id_7,15.745781713
id_8,44.2462988798
id_9,33.0166123352
id_10,37.8012944252
id_11,60.5215247257
id_12,34.0871736937
id_13,36.5770521867
id_14,29.2837668858
id_15,12.7997833069
id_16,49.9808921581
id_17,21.24271653
id_18,16.7372880558
id_19,17.2496567569
id_20,13.6629197273
id_21,24.1613342287
id_22,37.4676834981
id_23,9.09205898937
id_24,58.5230055992
id_25,44.6435559471
id_26,27.4941376024
id_27,10.1604140725
id_28,30.0570113899
id_29,34.2479475584
id_30,14.6228432788
id_31,11.1209270213
id_32,17.6940220762
id_33,6.10944111619
id_34,18.7394011306
id_35,37.3935327151
id_36,21.2304864094
id_37,28.7423417579
id_38,4.51246026086
id_39,62.5339190676
id_40,46.7034667106
id_41,19.5063146252
id_42,51.3367466497
id_43,19.4737270754
id_44,44.2760947125
id_45,48.0156980259
id_46,60.2827747084
id_47,40.9635932561
id_48,52.2189707624
id_49,40.7358655199
id_50,30.7101391903
id_51,23.7600858891
id_52,42.5706258079
id_53,26.2307571875
id_54,39.770034188
id_55,39.9203694756
id_56,25.5155817531
id_57,20.9431416459
id_58,37.0688409749
id_59,31.4251625348
id_60,10.8254708122
id_61,25.6121947053
id_62,30.2964141775
id_63,56.2844862771
id_64,49.6083368883
id_65,26.6964337035
id_66,40.488117449
id_67,55.191316224
id_68,28.262117811
id_69,36.6337686134
id_70,65.4374857
id_71,50.3326850471
id_72,42.0702050167
id_73,10.8079941171
id_74,11.6282639613
id_75,35.0772624783
id_76,63.9107409857
id_77,5.53409267438
id_78,41.4262176221
id_79,38.9363161164
id_80,7.19938106489
id_81,20.1585307055
id_82,8.93551328928
id_83,34.1986956588
id_84,9.0195016275
id_85,6.5369488892
id_86,15.2523632605
id_87,12.66133976
id_88,14.8629575745
id_89,23.7011531043
id_90,29.1816755114
id_91,10.0502784531
id_92,14.1333305633
id_93,10.1511735391
id_94,35.0039462353
id_95,18.6874575846
id_96,14.2720518583
id_97,7.47874358573
id_98,9.09308826819
id_99,6.67122474567
id_100,12.8602557671
id_101,19.4834691922
id_102,9.03080380463
id_103,4.80527609111
id_104,14.6182131503
id_105,36.0667721805
id_106,26.5705553636
id_107,11.7907230138
id_108,17.0953586651
id_109,17.6607775968
id_110,13.5208889579
id_111,12.719828653
id_112,14.0720744672
id_113,25.9832002081
id_114,23.1081531218
id_115,15.1458726727
id_116,13.4957719325
id_117,42.3087077395
id_118,27.0695550232
id_119,3.9632708303
id_120,2.64470002228
id_121,12.4791073111
id_122,14.5017161037
id_123,13.967656811
id_124,5.30550831303
id_125,26.3206468782
id_126,23.2637221351
id_127,13.286035788
id_128,17.9602633767
id_129,16.707172767
id_130,4.08453005867
id_131,35.910683877
id_132,17.3010208805
id_133,22.2427288507
id_134,23.4911374379
id_135,20.5677411386
id_136,12.6186381645
id_137,20.743565147
id_138,82.8567137574
id_139,62.060664564
id_140,27.461331502
id_141,14.3270557521
id_142,24.8206688548
id_143,9.50647317098
id_144,15.220854913
id_145,10.4592077656
id_146,20.307973609
id_147,7.38597995531
id_148,13.6270466964
id_149,16.8796981735
id_150,49.0349692392
id_151,17.8086052305
id_152,23.6197972266
id_153,13.4601287073
id_154,16.9472663155
id_155,28.155666847
id_156,16.6581480473
id_157,33.485150407
id_158,6.09241037879
id_159,14.8411303985
id_160,42.6733510751
id_161,18.0328152677
id_162,55.9258499404
id_163,19.5138115665
id_164,37.1488412455
id_165,25.1190707517
id_166,20.1918087577
id_167,1.19725534334
id_168,69.0257604909
id_169,19.2798741157
id_170,18.040092763
id_171,72.852279295
id_172,17.4273039433
id_173,4.84346855417
id_174,24.2221791346
id_175,1.22762604369
id_176,8.45164828753
id_177,18.9669855455
id_178,21.4479260488
id_179,19.8213479096
id_180,42.9574115778
id_181,27.7507901115
id_182,29.4879832891
id_183,14.4830745256
id_184,6.77924266039
id_185,41.8295210955
id_186,36.8105145121
id_187,31.5272109166
id_188,15.427788655
id_189,22.0903067363
id_190,12.6483931708
id_191,13.0973407261
id_192,33.0879575405
id_193,75.5326370326
id_194,32.337792229
id_195,12.6160027281
id_196,63.5946900366
id_197,17.0567241956
id_198,19.359984731
id_199,23.1583445092
id_200,162.888949259
id_201,25.4986210101
id_202,59.8782078958
id_203,6.48601314036
id_204,57.9156144578
id_205,30.8024248424
id_206,14.6883972841
id_207,16.779282736
id_208,66.5642116937
id_209,16.3629345959
id_210,31.3497702371
id_211,69.4131574674
id_212,21.8135581303
id_213,73.4801601169
id_214,38.5456700529
id_215,66.449764906
id_216,105.642056654
id_217,71.6297961454
id_218,28.0804670608
id_219,18.2650293937
id_220,31.8028713222
id_221,48.7410294756
id_222,27.366643917
id_223,41.9833861954
id_224,41.2744716647
id_225,6.33661157301
id_226,7.89110113235
id_227,76.4058851146
id_228,26.0332860631
id_229,1.71758901263
id_230,38.626803286
id_231,15.0649981053
id_232,19.9598250945
id_233,5.56279496681
id_234,14.7121242111
id_235,19.7724139645
id_236,12.9774130609
id_237,2.42208512638
id_238,23.7342432865
id_239,1.84911694986
